Name	Rank
James II	1		
Prince of Orange	1		
Dartmouth	2		
Dover	2		
Preston	2		
Berwick	2		
Duke of Ormond	2		
Duchess of Ormond	2		
William Legge	2		
Newport 	2		
Newcastle  	2		
Earl of Arran	3		
Countess of Arran	3		
Col. Richard Norton	3		
Berkeley	3		
Feversham	3		
Rochester	3		
Pembroke	3		
Dorset	3		
Thanet	3		
Supese	3		
Mulgrave	3		
Carlisle	3		
Burlington	3		
Aylesbury	3		
Weymouth	3		
Chandos	3		
Naughan-Carbury	3		
Lord Hawley	4		
Lord John Butler	4		
Mr. Samuel Pepys Esq.	4		
Marquess d'Albeville [Ignatius White, English envoy to the Hague]	4		
Baron Wilde	4		
William Cant.	4		
Thomas Ebor.	4		
John Petriburg	4		
Peter Winchester	4		
Thomas Roffen 	4		
Thomas Culpeper	4		
J. Jennyn	4		
Crewe	4		
Opulstone	4		
North & Grey	4		
J. Poyntz	5		
Your friend Charles Rp.	5		
John Warre	5		
Phillip Frowd	5		
Phineas Bowles 	5		
Phillip Musgrave (administrator)	5		
Captain Wilford	5		
Captain Peter Shakerley	5		
Captain Aylmer	5		
Captain Tennant of the Jyger	5		
William Botham 	5		
Thomas Leighton	5		
Captain Cornwall	5		
Roger Strichland	5		
Matthew Tennant	5		
John Clements	5		
J. Jenefer	5		
John Berry	5		
William Langeley	5		
Thomas Coall	5		
Thomas Johnson	5		
William Daves	5		
Fredrick Frond	5		
William Potter	5		
Stephen Aberman	5		
J. McGomeric	5		
Edward Dover	5		
John Ashley	5		
William Jennens	5		
Henjry Butler	5		
J. Leake 	5		
Ral. Delawall	5		
William Booth	5		
F. Wivell	5		
Charles Shelton	5		
Anthony Hastings	5		
Stephen Fairborne	5		
William Pooley	5		
Richars Carter	5		
Ra. Wrenn	5		
J. Beverly 	5		
Richard Wiseman	5		
Crow(?) Shovell	5		
George St. Loe	5		
J. Laton	5		
Thomas Legge	5		
John Ferrell	5		
John Nevell	5		
J. Miriden	5		
Officer at the Brischam	5		
Sir Edward Scott	5		
Sir Edward Seymour	5		
Sir Richard Holmes	5		
Sir Richard Beach	5		
Sir Robert Holmes	5		
Sir Henry Shore	5		
Mr. Gardiner	6		
Post Master of Deale (now Deal in Kent)	6		
Thomas Phillips (https://en.wikipedia.org/wiki/Thomas_Phillips_(engineer), master gunner of the HMS Portsmouth)	6		
E. Parsons	6		
S. Sandford	6		
H. Cran. (?)	6		
Mr. Bastich	6		
R. John (?) Bourger (?)	6		
Lords of Guild Hall	6		
a person come this night from Lime	7		
