,Duke of Ormond,William Legge,Your friend Charles Rp.,Lord Newport,J. Poyntz,Countess of Arran,Lord John Butler,Duke of Newcastle,John Warre,Duchess of Ormond,Earl of Arran,Lord Hawley
Duke of Ormond,0,10,0,0,0,0,0,0,2,0,0,0
William Legge,0,0,0,0,0,0,0,0,0,0,0,0
Your friend Charles Rp.,0,1,0,0,0,0,0,0,0,0,0,0
Lord Newport,0,1,0,0,0,0,0,0,0,0,0,0
J. Poyntz,0,1,0,0,0,0,0,0,0,0,0,0
Countess of Arran,0,6,0,0,0,0,0,0,0,0,0,0
Lord John Butler,0,1,0,0,0,0,0,0,0,0,0,0
Duke of Newcastle,0,1,0,0,0,0,0,0,0,0,0,0
John Warre,1,0,0,0,0,0,1,0,0,0,0,0
Duchess of Ormond,0,11,0,0,0,0,0,0,0,0,0,0
Earl of Arran,0,1,0,0,0,0,0,0,0,0,0,0
Lord Hawley,0,1,0,0,0,0,0,0,0,0,0,0
