,To 1,To 2,To 3,To 4,To 5,To 6,To 7,From 1,From 2,From 3,From 4,From 5,From 6,From 7
Captain Tennant of the Jyger,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Samuel Pepys,0,3,0,0,6,5,1,0,17,0,0,0,0,0
Mr. Bastich,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Phillip Frowd,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Captain Wilford,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Lord Dartmouth,8,1,2,17,1,1,0,10,0,3,3,0,0,0
King James II,0,10,0,1,0,0,0,0,7,0,0,0,0,0
R. John,0,0,0,0,0,0,0,0,0,0,1,0,0,0
a person come this night from Lime,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Sir Edward Seymour,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Officer at the Brischam,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Sir Richard Holmes,0,0,0,0,0,0,0,0,1,0,2,0,0,0
Lord Preston,0,0,0,0,1,0,0,0,1,0,0,0,0,0
H. Cran.,0,0,0,0,0,0,0,0,0,0,1,0,0,0
S. Sandford,0,0,0,0,0,0,0,0,0,0,1,1,0,0
E. Parsons,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Post Master of Deale,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Marquess d'Albeville,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Lord Berkeley,0,3,0,0,0,0,0,0,2,0,0,0,0,0
Thomas Phillips,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Phillip Musgrave,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Prince of Orange,0,0,0,0,0,0,0,0,1,0,0,0,0,0
